"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"IRLB8721PBF","Infineon Technologies","IRLB8721PBF-ND","","","Tube","Active","1","0.85000","$0.85","3977","15 Weeks","MOSFET N-CH 30V 62A TO-220AB","ROHS3 Compliant","Lead free","REACH Unaffected"
"L7805CV","STMicroelectronics","497-1443-5-ND","","","Tube","Active","1","0.50000","$0.50","8741","24 Weeks","IC REG LINEAR 5V 1.5A TO220AB","ROHS3 Compliant","Lead free","REACH Unaffected"
"DEV-13305","SparkFun Electronics","1568-1233-ND","","","Bulk","Active","1","14.38000","$14.38","448","8 Weeks","TEENSY-LC KL2X EVAL BRD","RoHS Compliant","Lead free","Not Available"
"TLV2462CP","Texas Instruments","296-1892-5-ND","","","Tube","Active","1","2.67000","$2.67","437","12 Weeks","IC OPAMP GP 2 CIRCUIT 8DIP","ROHS3 Compliant","Lead free","REACH Unaffected"
"MAX31855KASA+T","Maxim Integrated","MAX31855KASA+TCT-ND","","","Cut Tape (CT)","Active","1","5.31000","$5.31","5138","13 Weeks","IC CONV THERMOCOUPLE-DGTL 8SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"ECA-1VM100I","Panasonic Electronic Components","P19549CT-ND","","","Cut Tape (CT)","Active","1","0.22000","$0.22","9633","15 Weeks","CAP ALUM 10UF 20% 35V RADIAL","RoHS Compliant","Lead free","Not Available"
"C330C105K5R5TA7301","KEMET","399-9886-1-ND","","","Cut Tape (CT)","Active","1","0.55000","$0.55","29743","8 Weeks","CAP CER 1UF 50V X7R RADIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"C322C104K5R5TA7301","KEMET","399-9877-1-ND","","","Cut Tape (CT)","Active","1","0.25000","$0.25","89479","8 Weeks","CAP CER 0.1UF 50V X7R RADIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"CFR-25JB-52-100R","Yageo","100QBK-ND","","","Bulk","Active","1","0.10000","$0.10","22187","16 Weeks","RES 100 OHM 1/4W 5% AXIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"CFR-25JB-52-1M","Yageo","1.0MQBK-ND","","","Bulk","Active","1","0.10000","$0.10","39671","16 Weeks","RES 1M OHM 1/4W 5% AXIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"RN60D5003FB14","Vishay Dale","1135-1620-ND","","","Bulk","Active","1","0.50000","$0.50","767","34 Weeks","RES 500K OHM 1/4W 1% AXIAL","RoHS non-compliant","Contains lead","Not Available"
"CMF502K0000FHEB","Vishay Dale","CMF2.00KQFCT-ND","","","Cut Tape (CT)","Active","2","0.67000","$1.34","2373","12 Weeks","RES 2.00K OHM 1/4W 1% AXIAL","ROHS3 Compliant","Lead free","Not Available"
"RNF14FTD100K","Stackpole Electronics Inc","RNF14FTD100KCT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","78913","20 Weeks","RES 100K OHM 1/4W 1% AXIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"61301411121","Würth Elektronik","732-5325-ND","","","Bag","Active","2","0.74000","$1.48","5240","14 Weeks","CONN HEADER VERT 14POS 2.54MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"PH1RB-03-UA","Adam Tech","2057-PH1RB-03-UA-ND","","","Bag","Active","1","0.11000","$0.11","6527","9 Weeks","CONN HEADER R/A 3POS 2.54MM","ROHS3 Compliant","Lead free","Not Available"